Nombre, Edad, Posicion, Club, Valoracion
Alexander Domínguez, 35, Arquero, (LDU Quito), 600000 
Hernán Galíndez, 35, Arquero, (Aucas), 600000
Moisés Ramirez, 22, Arquero, (Independiente del Valle), 1000000
Angelo Preciado, 24, Defensa, (Genk), 3200000
Pervis Estupiñán, 24, Defensa, (Brighton & Hove Albion), 20000000 
Diego Palacios, 23, Defensa, (Los Angeles FC), 4000000
Piero Hincapié, 20, Defensa, (Bayer Leverkusen), 22000000
Jackson Porozo, 22, Defensa, (Troyes), 3000000
Robert Arboleda, 31, Defensa, (São Paulo), 2000000
Xavier Arreaga, 28, Defensa, (Seattle Sounders), 2000000
Félix Torres, 25, Defensa, (Santos Laguna), 6000000
William Pacho, 21, Defensa, (Antwerp), 3500000
Carlos Gruezo, 27, Mediocampista, (Augsburg), 4000000
Jhegson Méndez, 25, Mediocampista, (Los Angeles FC), 1500000
José Cifuentes, 23, Mediocampista, (Los Angeles FC), 12000000
Alan Franco, 24, Mediocampista, (Talleres on loan from Atlético Mineiro), 2500000
Moisés Caicedo, 21, Mediocampista, (Brighton & Hove Albion), 38000000
Ángel Mena, 34, Mediocampista, (León), 1500000
Ayrton Preciado, 28, Mediocampista, (Santos Laguna), 2500000
Gonzalo Plata, 22, Mediocampista, (Real Valladolid), 5000000
Romario Ibarra, 28, Mediocampista, (Pachuca), 1800000
Jeremy Sarmiento, 20, Mediocampista, (Brighton & Hove Albion), 3000000
Enner Valencia, 33, Delantero, (Fenerbahçe), 3000000
Michael Estrada, 26, Delantero, (Cruz Azul on loan from Toluca), 3000000
Djorkaeff Reasco, 23, Delantero, (Newell’s Old Boys), 500000
Kevin Rodríguez, 22, Delantero, (Imbabura), 300000