Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
22	Amir Abedzadeh	Amir Abedzadeh	Goalkeeper	29	SD Ponferradina	€1.50m  
1	Alireza Beiranvand	Alireza Beiranvand	Goalkeeper	30	Persepolis FC	€1.00m  
24	Hossein Hosseini	Hossein Hosseini	Goalkeeper	30	Esteghlal FC	€525k  
12	Payam Niazmand	Payam Niazmand	Goalkeeper	27	Sepahan FC	€500k  
19	Majid Hosseini	Majid Hosseini	Centre-Back	26	Kayserispor	€3.00m 
13	Hossein Kanaani	Hossein Kanaani	Centre-Back	28	Al-Ahli SC	€2.00m  
8	Morteza Pouraliganji	Morteza Pouraliganji	Centre-Back	30	Persepolis FC	€700k  
4	Shoja Khalilzadeh	Shoja Khalilzadeh	Centre-Back	33	Al-Ahli SC	€300k  
5	Milad Mohammadi	Milad Mohammadi	Left-Back	29	AEK Athens	€2.00m  
3	Ehsan Hajsafi	Ehsan Hajsafi	Left-Back	32	AEK Athens	€800k  
25	Abolfazl Jalali	Abolfazl Jalali	Left-Back	24	Esteghlal FC	€400k  
2	Sadegh Moharrami	Sadegh Moharrami	Right-Back	26	GNK Dinamo Zagreb	€2.00m  
23	Ramin Rezaeian	Ramin Rezaeian	Right-Back	32	Sepahan FC	€450k  
15	Roozbeh Cheshmi	Roozbeh Cheshmi	Defensive Midfield	29	Esteghlal FC	€500k  
6	Saeid Ezatolahi	Saeid Ezatolahi	Defensive Midfield	26	Vejle Boldklub	€400k  
21	Ahmad Nourollahi	Ahmad Nourollahi	Central Midfield	29	FC Shabab Al-Ahli Dubai	€2.00m  
18	Ali Karimi	Ali Karimi	Central Midfield	28	Kayserispor	€100k 
14	Saman Ghoddos	Saman Ghoddos	Attacking Midfield	29	Brentford FC	€2.20m  
16	Mehdi Torabi	Mehdi Torabi	Left Winger	28	Persepolis FC	€800k  
11	Vahid Amiri	Vahid Amiri	Left Winger	34	Persepolis FC	€350k  
7	Alireza Jahanbakhsh	Alireza Jahanbakhsh	Right Winger	29	Feyenoord Rotterdam	€3.00m  
17	Ali Gholizadeh	Ali Gholizadeh	Right Winger	26	RSC Charleroi	€2.00m  
9	Mehdi Taremi	Mehdi Taremi	Centre-Forward	30	FC Porto	€20.00m  
20	Sardar Azmoun	Sardar Azmoun	Centre-Forward	27	Bayer 04 Leverkusen	€12.00m  
10	Karim Ansarifard	Karim Ansarifard	Centre-Forward	32	Omonia Nicosia	€1.00m 